,Document,Dominant Topic,Contribution %,Topic Desc
0,"['dataset', 'contain', 'transaction', 'make', 'credit', 'card', 'september', 'european', 'cardholder', 'dataset', 'present', 'transaction', 'occur', 'two', 'day', 'fraud', 'transaction', 'dataset', 'highly', 'balanced', 'positive', 'class', 'fraud', 'account', 'transaction', 'contain', 'numerical', 'input', 'variable', 'result', 'pa', 'transformation', 'unfortunately', 'due', 'confidentially', 'issue', 'provide', 'original', 'feature', 'background', 'information', 'datum', 'feature', 'v', 'v', 'v', 'principal', 'component', 'obtain', 'pa', 'feature', 'transform', 'pa', 'time', 'amount', 'feature', 'time', 'contain', 'second', 'elapse', 'transaction', 'first', 'transaction', 'dataset', 'feature', 'amount', 'transaction', 'amount', 'feature', 'use', 'exampledependant', 'costsenstive', 'learn', 'feature', 'class', 'response', 'variable', 'take', 'value', 'case', 'fraud', 'otherwise', 'give', 'class', 'balance', 'ratio', 'recommend', 'measure', 'accuracy', 'use', 'area', 'precisionrecal', 'curve', 'supra', 'confusion', 'matrix', 'accuracy', 'meaningful', 'balanced', 'classification', 'dataset', 'collect', 'analyze', 'research', 'collaboration', 'worldliness', 'machine', 'learn', 'group', 'htpmlgulbacbe', 'ulm', 'university', 'fibre', 'de', 'bruxelle', 'big', 'datum', 'mining', 'fraud', 'detection', 'detail', 'current', 'past', 'project', 'relate', 'topic', 'available', 'htpmlgulbacbebrufence', 'htpmlgulbacbeartml', 'please', 'cite', 'andrew', 'day', 'pool', 'oliver', 'call', 'reid', 'johnson', 'gianluca', 'contempt', 'celebrate', 'probability', 'undersampling', 'balanced', 'classification', 'symposium', 'computational', 'intelligence', 'datum', 'mining']",3,99.5,"use, I, contain, number, file, time, information"
1,"['ultimate', 'soccer', 'database', 'datum', 'analysis', 'machine', 'learn', 'get', 'match', 'player', 'european', 'country', 'lead', 'championship', 'season', 'player', 'tear', 'attribute', 'source', 'sport', 'video', 'game', 'series', 'include', 'weekly', 'update', 'team', 'line', 'squad', 'formation', 'x', 'coordinate', 'bet', 'odd', 'provide', 'detailed', 'match', 'event', 'goal', 'type', 'possession', 'corner', 'cross', 'foul', 'card', 'etc', 'match', 'th', 'oct', 'new', 'table', 'contain', 'tear', 'attribute', 'original', 'datum', 'source', 'easily', 'find', 'datum', 'soccer', 'match', 'usually', 'scatter', 'across', 'different', 'webster', 'thorough', 'datum', 'collection', 'process', 'make', 'life', 'easy', 'I', 'must', 'insist', 'make', 'commercial', 'use', 'datum', 'datum', 'source', 'htpfotbaldatamxapienetscorescom', 'score', 'line', 'team', 'formation', 'event', 'htpwfotbaldatacouk', 'bet', 'odd', 'click', 'understand', 'column', 'name', 'system', 'bet', 'odd', 'htpsofifacom', 'player', 'tear', 'attribute', 'sport', 'game', 'series', 'asset', 'property', 'sport', 'look', 'database', 'notice', 'foreign', 'key', 'player', 'match', 'original', 'datum', 'source', 'I', 'call', 'foreign', 'key', 'api_id', 'improve', 'dataset', 'notice', 'player', 'miss', 'line', 'null', 'value', 'I', 'able', 'source', 'attribute', 'fix', 'overcome', 'crawl', 'algorithm', 'improve', 'dataset', 'also', 'expand', 'include', 'international', 'game', 'national', 'cup', 'champion', 'league', 'europe', 'league', 'please', 'ask', 'I', 'specific', 'tournament', 'please', 'get', 'touch', 'I', 'want', 'help', 'improve', 'dataset', 'click', 'access', 'project', 'github', 'important', 'note', 'people', 'interested', 'use', 'drawer', 'since', 'I', 'first', 'write', 'crawl', 'script', 'patron', 'appear', 'sofifacom', 'change', 'design', 'come', 'new', 'requirement', 'script', 'exist', 'script', 'crawl', 'player', 'player', 'spider', 'work', 'I', 'update', 'explore', 'datum', 'fun', 'part', 'lot', 'dataset', 'I', 'add', 'visual', 'insight', 'overview', 'page', 'please', 'look', 'kersey', 'give', 'try', 'idea', 'holy', 'grain', 'obviously', 'predict', 'outcome', 'game', 'body', 'use', 'class', 'home', 'win', 'draw', 'away', 'win', 'get', 'right', 'time', 'also', 'I', 'achieve', 'far', 'use', 'sum', 'though', 'may', 'sound', 'high', 'random', 'sport', 'game', 'get', 'know', 'home', 'team', 'win', 'time', 'base', 'case', 'constantly', 'prediction', 'home', 'win', 'indeed', 'precision', 'improbability', 'vs', 'odd', 'run', 'multicla', 'classified', 'like', 'sum', 'could', 'also', 'output', 'probability', 'estimate', 'compare', 'bet', 'odd', 'look', 'variance', 'vs', 'odd', 'see', 'game', 'different', 'prediction', 'explore', 'visualize', 'feature', 'access', 'player', 'tear', 'attribute', 'team', 'formation', 'name', 'event', 'able', 'produce', 'interesting', 'insight', 'beautiful', 'game', 'know', 'guardiola', 'may', 'hire', 'one', 'day']",3,99.81,"use, I, contain, number, file, time, information"
2,"['background', 'say', 'success', 'movie', 'release', 'certain', 'company', 'pair', 'find', 'consistent', 'formula', 'give', 'major', 'film', 'cost', 'million', 'produce', 'still', 'flop', 'question', 'important', 'ever', 'industry', 'film', 'aficionado', 'might', 'different', 'interest', 'predict', 'film', 'highly', 'rate', 'whether', 'commercial', 'success', 'great', 'place', 'start', 'dig', 'question', 'datum', 'plot', 'cast', 'crew', 'budget', 'revenue', 'several', 'thousand', 'film', 'datum', 'source', 'transfer', 'summary', 'eagle', 'remove', 'original', 'version', 'dataset', 'per', 'takedown', 'request', 'limb', 'order', 'minimize', 'impact', 'replace', 'similar', 'set', 'film', 'datum', 'field', 'movie', 'database', 'tm', 'accordance', 'term', 'use', 'bad', 'news', 'kersey', 'build', 'old', 'dataset', 'likely', 'long', 'work', 'good', 'news', 'port', 'exist', 'kersey', 'bit', 'edit', 'keener', 'offer', 'function', 'example', 'also', 'find', 'general', 'introduction', 'new', 'format', 'new', 'dataset', 'contain', 'full', 'credit', 'cast', 'crew', 'rather', 'first', 'three', 'actor', 'actor', 'actress', 'list', 'order', 'appear', 'credit', 'unclear', 'order', 'original', 'dataset', 'use', 'move', 'I', 'spot', 'check', 'line', 'either', 'credit', 'order', 'limb', 'star', 'order', 'revenue', 'appear', 'current', 'example', 'limb', 'figure', 'altar', 'seem', 'understand', 'film', 'global', 'revenue', 'billion', 'move', 'able', 'port', 'couple', 'hundred', 'bad', 'entry', 'example', 'limb', 'entry', 'basically', 'accurate', 'information', 'list', 'star', 'war', 'episode', 'vii', 'documentary', 'datum', 'source', 'transfer', 'detail', 'several', 'new', 'column', 'contain', 'son', 'save', 'bit', 'time', 'part', 'load', 'datum', 'function', 'keener', 'even', 'simple', 'field', 'like', 'auntie', 'may', 'consistent', 'across', 'version', 'example', 'previous', 'dataset', 'show', 'duration', 'altar', 'extend', 'cut', 'tm', 'show', 'time', 'original', 'version', 'separate', 'file', 'contain', 'full', 'credit', 'cast', 'crew', 'field', 'fill', 'user', 'expect', 'agree', 'keyword', 'genius', 'rating', 'like', 'exist', 'kersey', 'continue', 'render', 'normally', 'return', 'curious', 'dataset', 'prepare', 'code', 'access', 'tub', 'apt', 'post', 'new', 'column', 'homage', 'original_title', 'overview', 'popularity', 'production_companie', 'production_countrie', 'release_date', 'spoken_language', 'status', 'saline', 'vote_average', 'lose', 'column', 'actor_facebok_likes', 'actor_facebok_likes', 'actor_facebok_likes', 'aspect_ratio', 'cast_total_facebok_like', 'color', 'concentrate', 'director_facebok_likes', 'facenumber_in_poster', 'movie_facebok_likes', 'movie_imdb_link', 'num_critic_for_reviews', 'num_user_for_reviews', 'open', 'question', 'datum', 'thing', 'chance', 'confirm', 'new', 'dataset', 'insight', 'please', 'let', 'know', 'form', 'budget', 'revenue', 'dollar', 'consistently', 'show', 'global', 'revenue', 'dataset', 'yet', 'go', 'datum', 'quality', 'analysis', 'find', 'obvious', 'correction', 'example', 'limb', 'version', 'necessary', 'treat', 'value', 'zero', 'budget', 'field', 'miss', 'similar', 'finding', 'would', 'helpful', 'fellow', 'dagger', 'probably', 'good', 'idea', 'keep', 'treat', 'zero', 'miss', 'cadet', 'miss', 'budget', 'much', 'likely', 'small', 'budget', 'film', 'first', 'place', 'inspiration', 'category', 'film', 'type', 'animate', 'explicit', 'label', 'possible', 'build', 'crew', 'job', 'title', 'sharp', 'divide', 'major', 'film', 'study', 'independent', 'two', 'group', 'fall', 'naturally', 'flutter', 'analysis', 'something', 'complicated', 'go', 'acknowledgment', 'dataset', 'generate', 'movie', 'database', 'apt', 'product', 'use', 'tm', 'apt', 'endorse', 'terrify', 'tm', 'apt', 'also', 'provide', 'access', 'datum', 'many', 'additional', 'move', 'actor', 'actress', 'crew', 'member', 'show', 'try']",3,50.02,"use, I, contain, number, file, time, information"
3,"['context', 'information', 'terrorist', 'attack', 'global', 'terrorist', 'database', 'god', 'opensource', 'database', 'include', 'information', 'terrorist', 'attack', 'around', 'world', 'annual', 'update', 'plan', 'future', 'god', 'include', 'systematic', 'datum', 'domestic', 'well', 'international', 'terrorist', 'incident', 'occur', 'time', 'period', 'include', 'case', 'database', 'maintain', 'research', 'national', 'consortium', 'study', 'terrorist', 'response', 'terrorist', 'start', 'headquarter', 'university', 'maryland', 'information', 'content', 'geography', 'worldwide', 'time', 'period', 'except', 'progress', 'publication', 'expect', 'june', 'unit', 'analysis', 'attack', 'variable', 'variable', 'location', 'tactic', 'perpetrator', 'target', 'outcome', 'source', 'classified', 'medium', 'article', 'note', 'please', 'interpret', 'change', 'time', 'caution', 'global', 'pattern', 'drive', 'diverse', 'tend', 'particular', 'region', 'datum', 'collection', 'influence', 'fluctuation', 'access', 'medium', 'coverage', 'time', 'place', 'definition', 'terrorist', 'threaten', 'actual', 'use', 'illegal', 'force', 'violence', 'nonstate', 'actor', 'attain', 'political', 'economic', 'religious', 'social', 'goal', 'fear', 'coercion', 'intimidation', 'see', 'god', 'codebok', 'important', 'detail', 'datum', 'collection', 'methodology', 'definition', 'come', 'scheme', 'acknowledgment', 'global', 'terrorist', 'database', 'fund', 'start', 'department', 'state', 'contract', 'number', 'saqmam', 'department', 'holland', 'security', 'science', 'technology', 'directorate', 'office', 'university', 'program', 'award', 'number', 'sac', 'stab', 'come', 'decision', 'classification', 'contain', 'database', 'determine', 'independently', 'start', 'research', 'interpret', 'necessarily', 'represent', 'official', 'view', 'policy', 'united', 'state', 'government', 'god', 'team', 'publication', 'god', 'beverage', 'extensively', 'scholar', 'publication', 'report', 'medium', 'article', 'put', 'terrorist', 'context', 'lesson', 'global', 'terrorist', 'database', 'god', 'principal', 'investigator', 'begin', 'miller', 'investigate', 'pattern', 'terrorist', 'provide', 'perspective', 'challenge', 'datum', 'collection', 'analysis', 'god', 'datum', 'collection', 'manager', 'michael', 'sense', 'discuss', 'important', 'benefit', 'drawback', 'methodological', 'advancement', 'datum', 'collection', 'come', 'term', 'use', 'use', 'datum', 'signify', 'agreement', 'follow', 'term', 'condition', 'definition', 'within', 'section', 'god', 'refer', 'global', 'terrorist', 'database', 'produce', 'national', 'consortium', 'study', 'terrorist', 'response', 'terrorist', 'include', 'datum', 'codebok', 'axillary', 'material', 'present', 'world', 'wide', 'web', 'interface', 'datum', 'present', 'start', 'refer', 'national', 'consortium', 'study', 'terrorist', 'response', 'terrorist', 'united', 'state', 'department', 'holland', 'security', 'center', 'excellence', 'base', 'university', 'maryland', 'user', 'denote', 'individual', 'set', 'individual', 'access', 'god', 'datum', 'codebok', 'axillary', 'material', 'world', 'wide', 'web', 'interface', 'datum', 'present', 'god', 'representative', 'denote', 'senior', 'management', 'staff', 'start', 'employee', 'representative', 'say', 'organization', 'senior', 'management', 'staff', 'designate', 'represent', 'start', 'dealing', 'user', 'usage', 'right', 'pursuant', 'agreement', 'start', 'grant', 'user', 'nonexclusive', 'nonguarante', 'right', 'search', 'brow', 'view', 'content', 'god', 'world', 'wide', 'web', 'interface', 'authorship', 'content', 'god', 'assemble', 'representative', 'start', 'purport', 'reflect', 'official', 'position', 'datum', 'collection', 'department', 'holland', 'security', 'agency', 'united', 'state', 'government', 'acknowledgment', 'information', 'source', 'god', 'acknowledge', 'user', 'cite', 'follow', 'national', 'consortium', 'study', 'terrorist', 'response', 'terrorist', 'start', 'global', 'terrorist', 'database', 'datum', 'file', 'retrieve', 'htpswkaglecomstartumdgtd', 'unauthorized', 'publication', 'datum', 'part', 'god', 'may', 'publish', 'webster', 'accessible', 'public', 'download', 'format', 'without', 'express', 'permission', 'god', 'staff', 'member', 'addition', 'part', 'god', 'may', 'distribute', 'commercial', 'purpose', 'intent', 'datum', 'use', 'commercial', 'enterprise', 'without', 'express', 'permission', 'god', 'staff', 'member', 'start', 'reserve', 'right', 'withhold', 'permission', 'penalty', 'penalty', 'failure', 'comply', 'term', 'agreement', 'may', 'result', 'loss', 'access', 'god', 'forfeiture', 'user', 'privilege', 'addition', 'appropriate', 'legal', 'remedy', 'limitation', 'liability', 'although', 'every', 'reasonable', 'effort', 'make', 'check', 'source', 'verify', 'fact', 'start', 'guarantee', 'account', 'report', 'open', 'literature', 'complete', 'accurate', 'start', 'shall', 'hold', 'liable', 'loss', 'damage', 'cause', 'error', 'omission', 'result', 'use', 'disuse', 'alteration', 'god', 'datum', 'user', 'user', 'infer', 'additional', 'action', 'result', 'beyond', 'present', 'god', 'entry', 'specifically', 'user', 'infer', 'individual', 'associate', 'particular', 'incident', 'try', 'convict', 'terrorist', 'criminal', 'offense', 'new', 'documentation', 'event', 'become', 'available', 'entry', 'may', 'modify', 'necessary', 'appropriate', 'termination', 'right', 'god', 'developer', 'reserve', 'right', 'remove', 'access', 'god', 'webster', 'particular', 'address', 'set', 'address', 'remove', 'database', 'entirely', 'public', 'access', 'discretion', 'event', 'user', 'right', 'grant', 'document', 'terminate', 'training', 'start', 'release', 'first', 'series', 'training', 'nodule', 'design', 'equip', 'god', 'user', 'knowledge', 'tool', 'good', 'beverage', 'database', 'training', 'module', 'provide', 'general', 'overview', 'god', 'include', 'datum', 'collection', 'process', 'use', 'god', 'pattern', 'global', 'terrorist', 'participant', 'learn', 'basic', 'datum', 'handle', 'generate', 'summary', 'statistic', 'god', 'use', 'pivotable', 'microsoft', 'expel', 'question', 'find', 'answer', 'frequently', 'ask', 'question', 'contact', 'god', 'staff', 'gtdstartumdedu']",2,87.13,"university, I, contain, use, state, include, acknowledgment"
4,"['context', 'bitcoin', 'long', 'run', 'well', 'know', 'cryptocurency', 'first', 'release', 'open', 'source', 'anonymous', 'satoshi', 'nakamoto', 'bitcoin', 'serve', 'centralize', 'medium', 'digital', 'exchange', 'transaction', 'verify', 'record', 'public', 'distribute', 'ledger', 'blockchain', 'without', 'need', 'trust', 'record', 'keep', 'authority', 'central', 'intermediary', 'transaction', 'block', 'contain', 'cryptographic', 'previous', 'transaction', 'block', 'thus', 'chain', 'together', 'serve', 'immutable', 'record', 'transaction', 'ever', 'occur', 'curencycomodity', 'market', 'bitcoin', 'trading', 'financial', 'instrument', 'soon', 'follow', 'public', 'adoption', 'bitcoin', 'continue', 'grow', 'include', 'historical', 'bitcoin', 'market', 'datum', 'min', 'interval', 'select', 'bitcoin', 'exchange', 'trading', 'take', 'place', 'happy', 'datum', 'mining', 'content', 'coincheckjpy_min_data_to_csv', 'bitflyerjpy_min_data_to_csv', 'coinbaseusd_min_data_to_csv', 'bitstampusd_min_data_to_csv', 'file', 'select', 'bitcoin', 'exchange', 'time', 'period', 'jan', 'jan', 'minute', 'minute', 'update', 'open', 'high', 'low', 'close', 'volume', 'etc', 'indicate', 'currency', 'weight', 'bitcoin', 'price', 'timestamp', 'unit', 'time', 'timestamp', 'without', 'trade', 'activity', 'datum', 'field', 'populated', 'dan', 'timestamp', 'miss', 'jump', 'may', 'exchange', 'apt', 'exchange', 'apt', 'exist', 'unforeseen', 'technical', 'error', 'datum', 'report', 'gather', 'effort', 'make', 'duplicate', 'entry', 'verify', 'content', 'correct', 'complete', 'good', 'ability', 'obviously', 'trust', 'risk', 'acknowledgment', 'inspiration', 'various', 'exchange', 'axis', 'make', 'difficult', 'unintuitive', 'enough', 'get', 'volume', 'datum', 'min', 'interval', 'I', 'set', 'datum', 'scrape', 'project', 'satoshi', 'nakamoto', 'novel', 'core', 'concept', 'blockchain', 'well', 'first', 'execution', 'via', 'bitcoin', 'protocol', 'I', 'would', 'also', 'like', 'thank', 'viewer', 'like', 'wait', 'see', 'code', 'insight', 'share', 'I', 'lowly', 'pad', 'student', 'fun', 'meager', 'spare', 'time', 'find', 'datum', 'interesting', 'spare', 'coffee', 'fuel', 'science', 'send', 'way', 'I', 'would', 'immensely', 'grateful', 'kmwmcqaqnzrdgfdkwehkbgugkbrcf']",3,49.32,"use, I, contain, number, file, time, information"
5,"['context', 'first', 'time', 'eagle', 'conduct', 'industrywide', 'survey', 'establish', 'comprehensive', 'view', 'state', 'datum', 'science', 'machine', 'learn', 'survey', 'receive', 'response', 'learn', 'ton', 'work', 'datum', 'happen', 'cut', 'edge', 'machine', 'learn', 'across', 'industry', 'new', 'datum', 'scientist', 'good', 'break', 'field', 'share', 'initial', 'insight', 'survey', 'work', 'folk', 'pudding', 'put', 'together', 'interactive', 'report', 'share', 'kersey', 'use', 'report', 'content', 'datum', 'include', 'file', 'schemacsv', 'file', 'survey', 'scheme', 'scheme', 'include', 'question', 'correspond', 'column', 'name', 'multiplechoiceresponsescsv', 'freformresponsescsv', 'multiplechoiceresponsescsv', 'respondent', 'answer', 'multiple', 'choice', 'banking', 'question', 'nonrandomize', 'thus', 'single', 'row', 'correspond', 'single', 'user', 'answer', 'freformresponsescsv', 'respondent', 'reform', 'answer', 'eagle', 'survey', 'question', 'response', 'randomize', 'within', 'column', 'read', 'across', 'single', 'row', 'give', 'single', 'user', 'answer', 'conversionratescsv', 'currency', 'conversion', 'rate', 'access', 'r', 'package', 'quantmod', 'september', 'respondentypereadmetxt', 'scheme', 'decide', 'response', 'ask', 'column', 'schemacsv', 'file', 'keener', 'award', 'november', 'month', 'november', 'ward', 'week', 'code', 'analysis', 'share', 'dataset', 'via', 'eagle', 'kersey', 'read', 'month', 'eagle', 'kersey', 'award', 'help', 'advance', 'state', 'machine', 'learn', 'datum', 'science', 'explore', 'one', 'kind', 'dataset', 'methodology', 'survey', 'receive', 'unable', 'respondent', 'country', 'territory', 'country', 'territory', 'receive', 'less', 'respondent', 'group', 'group', 'name', 'anonymity', 'exclude', 'respondent', 'flag', 'survey', 'system', 'spasm', 'answer', 'question', 'regard', 'employment', 'status', 'question', 'first', 'require', 'question', 'answer', 'indicate', 'respondent', 'proceed', 'past', 'th', 'question', 'survey', 'respondent', 'find', 'primarily', 'eagle', 'channel', 'like', 'email', 'list', 'discussion', 'form', 'social', 'medium', 'channel', 'survey', 'live', 'august', 'th', 'august', 'th', 'median', 'response', 'time', 'participate', 'survey', 'minute', 'allow', 'respondent', 'complete', 'survey', 'time', 'window', 'receive', 'salary', 'datum', 'first', 'ask', 'respondent', 'daytoday', 'currency', 'ask', 'write', 'either', 'total', 'compensation', 'provide', 'exchange', 'rate', 'calculate', 'salary', 'dollar', 'question', 'optional', 'every', 'question', 'show', 'every', 'respondent', 'attempt', 'ask', 'relevant', 'question', 'respondent', 'generally', 'ask', 'work', 'relate', 'question', 'employ', 'datum', 'scientist', 'learn', 'relate', 'question', 'student', 'column', 'schemacsv', 'file', 'call', 'ask', 'describe', 'see', 'question', 'learn', 'different', 'segment', 'use', 'schemacsv', 'file', 'respondentypereadmetxt', 'datum', 'tax', 'protect', 'respondent', 'identity', 'answer', 'multiple', 'choice', 'question', 'separate', 'separate', 'datum', 'file', 'openende', 'response', 'provide', 'key', 'match', 'multiple', 'choice', 'free', 'form', 'response', 'far', 'free', 'form', 'response', 'randomize', 'columnwise', 'response', 'appear', 'row', 'necessarily', 'come', 'surveytaker']",1,86.78,"inspiration, acknowledgment, use, set, file, include, research"
6,"['iris', 'dataset', 'use', 'ra', 'fish', 'classic', 'paper', 'use', 'multiple', 'measurement', 'taxonomic', 'problem', 'also', 'find', 'ici', 'machine', 'learn', 'depositor', 'include', 'three', 'iris', 'specie', 'sample', 'well', 'property', 'flower', 'one', 'flower', 'specie', 'nearly', 'separable', 'two', 'two', 'nearly', 'separable', 'column', 'dataset', 'sepalengthcm', 'sepalwidthcm', 'petalengthcm', 'petalwidthcm', 'specie']",3,98.02,"use, I, contain, number, file, time, information"
7,"['world', 'development', 'indicator', 'world', 'bank', 'contain', 'thousand', 'annual', 'indicator', 'economic', 'development', 'hundred', 'country', 'around', 'world', 'list', 'available', 'indicator', 'along', 'list', 'available', 'country', 'example', 'datum', 'include', 'life', 'expectancy', 'birth', 'many', 'country', 'around', 'world', 'dataset', 'post', 'slightly', 'transform', 'version', 'raw', 'file', 'available', 'facilitate', 'analysis']",2,51.4,"university, I, contain, use, state, include, acknowledgment"
8,"['actually', 'I', 'prepare', 'dataset', 'student', 'deep', 'learn', 'nap', 'course', 'I', 'also', 'happy', 'see', 'dagger', 'play', 'around', 'fun', 'description', 'two', 'channel', 'datum', 'provide', 'dataset', 'news', 'datum', 'I', 'crawl', 'historical', 'news', 'headline', 'credit', 'worldnew', 'channel', 'rworldnew', 'range', 'credit', 'user', 'vote', 'top', 'headline', 'consider', 'single', 'date', 'range', 'stock', 'datum', 'jone', 'industrial', 'average', 'use', 'prove', 'concept', 'range', 'I', 'provide', 'three', 'datum', 'file', 'format', 'reditnewscsv', 'two', 'column', 'first', 'column', 'date', 'second', 'column', 'news', 'headline', 'news', 'range', 'top', 'bottom', 'base', 'hot', 'hence', 'line', 'date', 'djia_tablecsv', 'download', 'directly', 'yakov', 'finance', 'check', 'web', 'page', 'combined_news_djiacsv', 'make', 'thing', 'easy', 'student', 'I', 'provide', 'combine', 'dataset', 'column', 'first', 'column', 'date', 'second', 'label', 'follow', 'one', 'news', 'headline', 'range', 'top', 'top', 'student', 'I', 'make', 'binary', 'classification', 'task', 'hence', 'two', 'label', 'adj', 'close', 'value', 'rise', 'stay', 'adj', 'close', 'value', 'decrease', 'task', 'evaluation', 'please', 'use', 'datum', 'training', 'set', 'test', 'set', 'follow', 'two', 'year', 'datum', 'roughly', 'split', 'course', 'use', 'au', 'evaluation', 'merit', 'dagger', 'please', 'vote', 'dataset', 'like', 'idea', 'market', 'prediction', 'think', 'code', 'amazing', 'trading', 'algorithm', 'friendly', 'advice', 'play', 'safe', 'money', 'feel', 'free', 'contact', 'I', 'question', 'remember', 'I', 'become', 'millionaire', 'p']",3,99.65,"use, I, contain, number, file, time, information"
9,"['datum', 'set', 'include', 'poleon', 'include', 'number', 'name', 'first', 'second', 'type', 'basic', 'state', 'attack', 'defense', 'special', 'attack', 'special', 'defense', 'speed', 'great', 'use', 'teach', 'statistic', 'kiss', 'certain', 'type', 'also', 'give', 'introduction', 'machine', 'learn', 'raw', 'attribute', 'use', 'calculate', 'much', 'damage', 'attack', 'game', 'dataset', 'poleon', 'game', 'poleon', 'card', 'poleon', 'go', 'datum', 'describe', 'mile', 'one', 'poleon', 'name', 'name', 'poleon', 'type', 'poleon', 'type', 'determine', 'weaknesresistance', 'attack', 'type', 'poleon', 'dual', 'type', 'total', 'sum', 'state', 'come', 'general', 'guide', 'strong', 'poleon', 'hit', 'point', 'health', 'define', 'much', 'damage', 'poleon', 'withstand', 'faint', 'attack', 'base', 'modify', 'normal', 'attack', 'eg', 'scratch', 'punch', 'defense', 'base', 'damage', 'resistance', 'normal', 'attack', 'special', 'attack', 'base', 'modify', 'special', 'attack', 'eg', 'fire', 'blast', 'bubble', 'beam', 'def', 'base', 'damage', 'resistance', 'special', 'attack', 'speed', 'determine', 'poleon', 'attack', 'first', 'round', 'datum', 'table', 'acquire', 'several', 'different', 'site', 'include', 'pokemoncom', 'pokemondb', 'bulbapeida', 'one', 'question', 'answer', 'database', 'type', 'poleon', 'infer', 'attack', 'defence', 'would', 'worthy', 'find', 'two', 'variable', 'define', 'type', 'poleon', 'two', 'variable', 'plot', 'space', 'use', 'example', 'machine', 'learn', 'could', 'mean', 'creation', 'visual', 'example', 'machine', 'learn', 'class', 'would', 'love']",3,99.61,"use, I, contain, number, file, time, information"
