Label,SMSText,Cleaned_SMSText
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go point crazy available boris n great world la e buffet line get wat
ham,Ok lar... Joking wif u oni...,ok war joke u
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry wily come win cup final st may text receive entry question txt rate apply
ham,U dun say so early hor... U c already then say...,u dun say early u c already say
ham,"Nah I don't think he goes to usf, he lives around here though",ah I not think go live around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",fresh hey darling week no word back I would like fun still ok xxx st cog send rev
ham,Even my brother is not like to speak with me. They treat me like aids patent.,even brother not like speak I treat I like aids patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request mele mele minaminunginte nurungu vera set calertune caller press copy friend calertune
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner value network customer select receive prize reward claim call claim code valid hour
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobile month u r entitle update late colour mobile camera free call mobile update co free
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",I na home soon I not want talk stuff anymore tonight k I cry enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chance win cash pound txt cash send cost day day stand apply reply
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent win week free membership prize jackson txt word claim no wdbuknet clad pobox ldnwarw
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,I search right word thank breathe I promise I take help grant fulfil promise wonderful blessing time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,I date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xmobilemovieclub use credit click link next txt message click htpwap xmobilemovieclubcomnqjkgighjgcbl
